prox.horizontal[0] ," prox.horizontal[1]" ," prox.horizontal[2]" ," prox.horizontal[3]" ," prox.horizontal[4]" ," prox.horizontal[5]" ," prox.horizontal[6]" , "timestamp"
0.000000,2866.000000,3351.000000,2194.000000,0.000000,0.000000,0.000000,21489.000000
0.000000,2706.000000,3176.000000,1946.000000,0.000000,0.000000,0.000000,21631.000000
0.000000,2623.000000,3091.000000,1776.000000,0.000000,0.000000,0.000000,21781.000000
0.000000,2449.000000,2911.000000,1440.000000,0.000000,0.000000,0.000000,21933.000000
0.000000,2375.000000,2829.000000,1111.000000,0.000000,0.000000,0.000000,22084.000000
0.000000,2344.000000,2798.000000,0.000000,0.000000,0.000000,0.000000,22234.000000
0.000000,2346.000000,2799.000000,0.000000,0.000000,0.000000,0.000000,22383.000000
0.000000,2346.000000,2801.000000,0.000000,0.000000,0.000000,0.000000,22536.000000
0.000000,2345.000000,2799.000000,0.000000,0.000000,0.000000,0.000000,22685.000000
0.000000,2347.000000,2800.000000,0.000000,0.000000,0.000000,0.000000,22846.000000
0.000000,2346.000000,2798.000000,0.000000,0.000000,0.000000,0.000000,22989.000000
0.000000,2347.000000,2802.000000,0.000000,0.000000,0.000000,0.000000,23277.000000
0.000000,2343.000000,2799.000000,0.000000,0.000000,0.000000,0.000000,23432.000000
0.000000,2346.000000,2798.000000,0.000000,0.000000,0.000000,0.000000,23562.000000
0.000000,2345.000000,2801.000000,0.000000,0.000000,0.000000,0.000000,23693.000000
0.000000,2347.000000,2798.000000,0.000000,0.000000,0.000000,0.000000,23835.000000
0.000000,2340.000000,2796.000000,0.000000,0.000000,0.000000,0.000000,23985.000000
0.000000,2343.000000,2800.000000,0.000000,0.000000,0.000000,0.000000,24135.000000
0.000000,2345.000000,2800.000000,0.000000,0.000000,0.000000,0.000000,24281.000000
0.000000,2348.000000,2798.000000,0.000000,0.000000,0.000000,0.000000,24440.000000
0.000000,2346.000000,2798.000000,0.000000,0.000000,0.000000,0.000000,24579.000000
0.000000,2344.000000,2803.000000,0.000000,0.000000,0.000000,0.000000,24740.000000
0.000000,2346.000000,2801.000000,0.000000,0.000000,0.000000,0.000000,24881.000000
0.000000,2342.000000,2799.000000,0.000000,0.000000,0.000000,0.000000,25067.000000
